t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
13.100000,0.117445,0.943205,0.000508,0.085501,0,0.000015,0.032927,0.071171,1.331128,11.463899,0.715036,0.031138,1.627414,0.044901,0,18.130613,1,stable
13.200000,0.070807,0.952136,0.000245,0.084907,0,0.000015,0.034842,0.070651,1.323335,11.508567,0.704965,0.040164,1.627414,0.031293,0,17.252485,1,stable
13.300000,0.011565,0.953688,-0.000325,0.084172,0,0.000017,0.035910,0.070011,1.317216,11.520166,0.699279,0.044404,1.627414,0.019154,0,16.455490,1,stable
13.400000,-0.008642,0.949772,-0.001068,0.083269,0,0.000016,0.036676,0.069230,1.313325,11.444460,0.698804,0.042522,1.627414,0.010678,0,17.252485,1,stable
13.500000,0.056137,0.942661,-0.001802,0.082167,0,0.000016,0.037833,0.068280,1.312019,11.391995,0.698435,0.061430,1.627414,0.007661,0,18.130613,1,stable
13.600000,0.133990,0.934548,-0.002147,0.080826,0,0.000016,0.046103,0.067131,1.313417,11.694294,0.701665,0.065530,1.624995,0.011567,0,17.252485,1,stable
13.700000,0.087447,0.927558,-0.001664,0.079201,0,0.000016,0.061376,0.065745,1.317343,11.562758,0.699012,0.052483,1.624995,0.082703,0,16.455490,1,stable
13.800000,-0.064778,0.923592,-0.000610,0.077239,0,0.000016,0.078294,0.064079,1.323448,11.952775,0.685294,0.067491,1.624995,0.152733,0,16.435674,1,stable
13.900000,-0.282115,0.923588,0.000536,0.074881,0,0.000016,0.097313,0.062085,1.331319,12.556969,0.692169,0.043466,1.624995,0.169179,0,16.415906,1,stable
14,-0.127429,0.926469,0.001963,0.072069,0,0.000017,0.118057,0.059714,1.340014,12.794585,0.700701,0.062510,1.624995,0.190190,0,17.325084,1,stable
14.100000,0.062066,0.928852,0.000894,0.068749,0,0.000016,0.141821,0.056923,1.348846,16.958766,0.666241,0.062842,1.622671,0.207436,0,16.987005,1,stable
14.200000,0.042745,0.926365,0.000688,0.064882,0,0.000017,0.168818,0.053679,1.356866,15.506966,0.674956,0.059595,1.622671,0.237637,0,16.837226,1,stable
14.300000,-0.068705,0.916137,0.000930,0.060459,0,0.000015,0.199981,0.049974,1.363300,16.181080,0.672175,0.048817,1.622671,0.269975,0,16.690065,1,stable
14.400000,-0.017145,0.899078,0.000399,0.055514,0,0.000015,0.235634,0.045836,1.367451,16.466337,0.669450,0.024011,1.622671,0.311632,0,16.431353,1,stable
14.500000,0.116111,0.880554,-0.000744,0.050136,0,0.000015,0.275827,0.041339,1.368874,16.467468,0.665651,0.047542,1.622671,0.356529,0,16.454871,1,stable
14.600000,0.133166,0.868472,-0.000952,0.044470,0,0.000015,0.325633,0.036603,1.367454,16.655220,0.683262,0.025367,1.620353,0.401931,0,16.316552,1,stable
14.700000,0.076911,0.869010,-0.000090,0.038710,0,0.000015,0.383009,0.031792,1.363276,16.500221,0.661168,0.031257,1.620353,0.498056,0,16.180540,1,stable
14.800000,0.023678,0.882722,-0.000117,0.033070,0,0.000015,0.438665,0.027085,1.356813,16.656578,0.649042,0.020991,1.620353,0.573762,0,16.098495,1,stable
14.900000,-0.005669,0.904370,-0.000534,0.027755,0,0.000015,0.489105,0.022656,1.348758,16.468438,0.653941,0.012557,1.620353,0.556560,0,16.017279,1,stable
15,-0.017471,0.926469,-0.000755,0.022926,0,0.000015,0.531309,0.018638,1.339936,16.368772,0.654484,0.011674,1.620353,0.504402,0,16.098495,1,stable
15.100000,-0.020268,0.943205,-0.000725,0.018683,0,0.000015,0.563217,0.015119,1.331225,16.279305,0.658689,0.009911,1.617877,0.422040,0,16.147657,1,stable
15.200000,-0.018711,0.952136,-0.000549,0.015063,0,0.000015,0.583966,0.012126,1.323458,16.178406,0.674754,0.007302,1.617877,0.319074,0,16.082204,1,stable
15.300000,-0.014734,0.953688,-0.000326,0.012050,0,0.000016,0.593798,0.009645,1.317357,16.074275,0.681488,0.007386,1.617877,0.207496,0,16.017279,1,stable
15.400000,-0.010054,0.949772,-0.000113,0.009591,0,0.000017,0.593759,0.007630,1.313468,15.970395,0.680769,0.006435,1.617877,0.098315,0,16.082204,1,transitoire
15.500000,-0.006285,0.942661,0.000061,0.007615,0,0.000016,0.585365,0.006019,1.312133,15.867386,0.681784,0.005057,1.617877,-0.000393,0,16.147657,1,transitoire
