t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
11.700000,-0.040941,0.927558,0.000496,0.084172,0,0.000017,0.046617,0.070011,1.317280,2.873915,0.723326,0.025346,1.634301,-0.128721,0,24.324018,stable
11.800000,0.206611,0.923592,-0.001175,0.084907,0,0.000017,0.043308,0.070651,1.323352,3.746938,0.708868,0.073575,1.634301,-0.048722,0,22.205674,stable
11.900000,0.262202,0.923588,-0.001702,0.085501,0,0.000019,0.040340,0.071171,1.331157,6.247097,0.837673,0.057444,1.634301,-0.033089,0,21.984634,stable
12,0.117690,0.926469,-0.001034,0.085974,0,0.000027,0.036682,0.071586,1.339804,5.505720,0.786072,0.094397,1.634301,-0.029681,0,25.592173,stable
12.100000,-0.181683,0.928852,-0.001397,0.086341,0,0.000018,0.032776,0.071910,1.348743,7.913955,0.730224,0.082195,1.631929,-0.036575,0,23.637037,stable
12.200000,-0.107124,0.926365,-0.000670,0.086615,0,0.000018,0.027136,0.072152,1.356785,9.862591,0.796433,0.070773,1.631929,-0.039066,0,22.354709,stable
12.300000,0.010251,0.916137,-0.000853,0.086805,0,0.000018,0.020911,0.072321,1.363376,12.755369,0.746612,0.053861,1.631929,-0.056397,0,21.204355,stable
12.400000,-0.056238,0.899078,0.001297,0.086917,0,0.000018,0.013218,0.072420,1.367588,11.207886,0.749498,0.049924,1.631929,-0.062253,0,22.354709,stable
12.500000,-0.120294,0.880554,0.002165,0.086954,0,0.000018,0.004954,0.072453,1.369008,11.611611,0.758391,0.075853,1.631929,-0.076928,0,21.204355,stable
12.600000,-0.140113,0.868472,0.000981,0.086917,0,0.000017,0.004674,0.072420,1.367605,11.005520,0.751158,0.049524,1.629643,-0.082640,0,20.293019,stable
12.700000,-0.071745,0.869010,0.000182,0.086805,0,0.000018,0.012528,0.072321,1.363366,10.932202,0.724361,0.064112,1.629643,-0.002801,0,19.456790,stable
12.800000,0.025954,0.882722,-0.000335,0.086615,0,0.000018,0.019512,0.072152,1.356831,11.309598,0.716035,0.037223,1.629643,0.078540,0,18.832332,stable
12.900000,0.096658,0.904370,-0.000117,0.086341,0,0.000017,0.025307,0.071910,1.348729,11.257585,0.716626,0.013108,1.629643,0.069841,0,18.246711,stable
13,0.124222,0.926469,0.000347,0.085974,0,0.000018,0.029797,0.071586,1.339871,11.140852,0.713610,0.018905,1.629643,0.057952,0,17.399941,stable
13.100000,0.111166,0.943205,0.000508,0.085501,0,0.000034,0.032927,0.071171,1.331128,11.159820,0.708602,0.031138,1.627414,0.044901,0,16.628277,stable
13.200000,0.064797,0.952136,0.000245,0.084907,0,0.000029,0.034842,0.070651,1.323335,11.195696,0.699915,0.040164,1.627414,0.031293,0,16.422957,stable
13.300000,0.005758,0.953688,-0.000325,0.084172,0,0.000017,0.035910,0.070011,1.317216,11.198136,0.694637,0.044404,1.627414,0.019154,0,16.222646,stable
13.400000,-0.016941,0.949772,-0.001068,0.083269,0,0.000018,0.036676,0.069230,1.313325,11.125839,0.694284,0.042522,1.627414,0.010678,0,16.422957,stable
13.500000,0.047025,0.942661,-0.001802,0.082167,0,0.000018,0.037833,0.068280,1.312019,11.070075,0.693703,0.061430,1.627414,0.007661,0,16.222646,stable
13.600000,0.134644,0.934548,-0.002147,0.080826,0,0.000018,0.046103,0.067131,1.313417,11.383101,0.696574,0.065530,1.624995,0.011567,0,16.042671,stable
13.700000,0.092519,0.927558,-0.001664,0.079201,0,0.000017,0.061376,0.065745,1.317343,11.302134,0.695223,0.052483,1.624995,0.082703,0,15.866645,stable
13.800000,-0.062992,0.923592,-0.000610,0.077239,0,0.000017,0.078294,0.064079,1.323448,11.687183,0.680274,0.067491,1.624995,0.152733,0,15.757114,stable
